Motzkin,Robinson
4.851862333,11.438844125
4.005574417,8.073586
4.195029375,9.139408208
4.918972541,9.015803917
4.28579025,8.229976208
3.972684209,8.117467584
4.572796875,8.057092
3.990583291,8.554357708
4.07186975,10.195193542
4.069408042,8.225908917
3.995551834,8.524631667
4.121572209,8.233767083
4.303705208,7.980471583
3.82333375,7.662546209
3.703952333,7.473344833
3.73355675,7.243371583
3.655697792,7.920937417
3.417450875,7.055911
3.414967666,7.06761375
3.825348333,7.352910083
3.397546042,7.108855833
3.389998167,7.1657495
3.411831042,7.664984208
3.8726255,7.968620667
3.494770167,7.161362208
3.584771125,7.219258208
3.624833125,7.224548042
3.550747209,7.311732708
3.69746975,7.380450041
4.172300959,7.450690125
3.731580291,8.101090333
3.992176209,7.292967458
3.612022208,7.815186417
3.554386958,7.216289167
3.946264917,6.960737291
3.818722792,7.432704917
3.548835625,8.081302708
3.500404917,7.177610709
3.903994,7.230365792
4.008211291,7.262325916
3.913679542,7.017425167
3.492636709,7.332194916
3.925670292,7.291397166
3.904419833,7.4364225
4.508775458,7.697942083
3.758203292,8.003393125
3.758411458,7.089844167
3.630879791,7.065318917
3.718661833,7.236271083
3.610978959,7.189516375
